@relation 'Restauraunts_Info_withoutids-weka.filters.unsupervised.attribute.Remove-R1-4,24-38,44,46-48-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-last-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-last'

@attribute Alcohol {full_bar,none,beer_and_wine}
@attribute 'Noise Level' {average,quiet,loud,very_loud}
@attribute 'Has TV' {FALSE,TRUE}
@attribute Attire {casual,dressy,formal}
@attribute 'Good for Kids' {TRUE,FALSE}
@attribute 'Good For Groups' {TRUE,FALSE}
@attribute 'Price Range' {1,2,3,4}
@attribute Delivery {TRUE,FALSE}
@attribute Caters {TRUE,FALSE}
@attribute BYOB {FALSE,TRUE}
@attribute 'Dogs Allowed' {FALSE,TRUE}
@attribute 'Accepts Credit Cards' {TRUE,FALSE}
@attribute BYOB/Corkage {no,yes_free,yes_corkage}
@attribute 'Take out' {TRUE,FALSE}
@attribute 'Wheelchair Accessible' {FALSE,TRUE}
@attribute 'Outdoor Seating' {FALSE,TRUE}
@attribute 'Takes Reservations' {TRUE,FALSE}
@attribute 'Waiter Service' {TRUE,FALSE}
@attribute 'Wi Fi' {no,free,paid}
@attribute Parking_garage {FALSE,TRUE}
@attribute Parking_street {FALSE,TRUE}
@attribute Parking_validated {FALSE,TRUE}
@attribute Parking_lot {TRUE,FALSE}
@attribute Parking_valet {FALSE,TRUE}
@attribute 'Score Class' {High,Med,'Very High',Low}

@data
full_bar,average,FALSE,casual,TRUE,TRUE,2,TRUE,TRUE,?,?,TRUE,?,TRUE,FALSE,FALSE,TRUE,TRUE,no,FALSE,FALSE,FALSE,TRUE,FALSE,High
none,average,FALSE,casual,TRUE,TRUE,1,FALSE,TRUE,?,?,TRUE,?,TRUE,TRUE,TRUE,FALSE,FALSE,?,FALSE,TRUE,FALSE,FALSE,FALSE,Med
full_bar,quiet,TRUE,casual,TRUE,TRUE,2,FALSE,TRUE,?,FALSE,TRUE,?,TRUE,TRUE,FALSE,TRUE,TRUE,free,FALSE,FALSE,FALSE,TRUE,FALSE,'Very High'
?,?,?,casual,TRUE,FALSE,1,FALSE,?,?,?,TRUE,?,TRUE,?,?,FALSE,?,?,?,?,?,?,?,Med
full_bar,average,TRUE,casual,TRUE,TRUE,2,FALSE,TRUE,?,TRUE,TRUE,?,TRUE,TRUE,TRUE,FALSE,TRUE,free,FALSE,FALSE,FALSE,TRUE,FALSE,High
full_bar,average,TRUE,casual,TRUE,TRUE,2,TRUE,TRUE,?,?,TRUE,?,TRUE,?,TRUE,TRUE,TRUE,no,FALSE,FALSE,FALSE,TRUE,FALSE,Med
full_bar,average,FALSE,dressy,FALSE,TRUE,3,FALSE,FALSE,?,?,TRUE,?,FALSE,?,FALSE,TRUE,TRUE,no,TRUE,FALSE,FALSE,FALSE,TRUE,'Very High'
beer_and_wine,average,TRUE,casual,TRUE,TRUE,2,FALSE,?,?,FALSE,TRUE,?,TRUE,TRUE,FALSE,TRUE,TRUE,no,FALSE,FALSE,FALSE,TRUE,FALSE,Med
full_bar,quiet,FALSE,casual,FALSE,TRUE,2,FALSE,FALSE,?,FALSE,TRUE,?,TRUE,TRUE,FALSE,TRUE,TRUE,free,FALSE,FALSE,FALSE,TRUE,FALSE,Med
full_bar,quiet,?,casual,?,TRUE,2,FALSE,?,?,?,TRUE,?,TRUE,TRUE,TRUE,TRUE,TRUE,?,TRUE,FALSE,FALSE,FALSE,FALSE,Low
none,average,TRUE,casual,TRUE,TRUE,1,FALSE,FALSE,?,?,TRUE,?,TRUE,TRUE,FALSE,FALSE,FALSE,paid,FALSE,TRUE,FALSE,FALSE,FALSE,High
none,average,FALSE,casual,TRUE,TRUE,1,FALSE,TRUE,?,?,TRUE,?,TRUE,TRUE,TRUE,FALSE,FALSE,free,FALSE,FALSE,FALSE,TRUE,FALSE,Med
full_bar,average,TRUE,casual,TRUE,TRUE,2,FALSE,FALSE,FALSE,?,TRUE,no,TRUE,TRUE,TRUE,TRUE,TRUE,no,FALSE,FALSE,FALSE,TRUE,FALSE,'Very High'
none,loud,TRUE,casual,FALSE,TRUE,1,FALSE,FALSE,?,?,TRUE,?,FALSE,?,FALSE,FALSE,FALSE,?,?,?,?,?,?,Low
none,loud,TRUE,casual,TRUE,TRUE,1,TRUE,TRUE,?,?,TRUE,?,TRUE,?,FALSE,FALSE,FALSE,no,FALSE,FALSE,FALSE,FALSE,FALSE,Med
full_bar,?,FALSE,casual,TRUE,TRUE,3,FALSE,TRUE,?,FALSE,TRUE,?,TRUE,TRUE,TRUE,TRUE,TRUE,no,FALSE,TRUE,FALSE,FALSE,FALSE,Med
none,?,?,?,?,?,?,TRUE,?,?,?,?,?,?,?,?,FALSE,?,no,?,?,?,?,?,Med
none,average,TRUE,casual,TRUE,TRUE,1,FALSE,TRUE,?,?,TRUE,?,TRUE,?,TRUE,FALSE,FALSE,?,FALSE,FALSE,FALSE,TRUE,FALSE,Med
